Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37759102,"What I've Done (Morgan Dane, #4)",Melinda Leigh,"Leigh, Melinda",,"=""1503903052""","=""9781503903050""",0,4.44,Montlake Romance,Paperback,329,2018,2018,,2024/07/11,,,read,,,,1,0
35531822,"Bones Don't Lie (Morgan Dane, #3)",Melinda Leigh,"Leigh, Melinda",,"=""1542049865""","=""9781542049863""",0,4.41,Montlake Romance,Paperback,341,2018,2018,,2024/07/11,,,read,,,,1,0
35074316,"Her Last Goodbye (Morgan Dane, #2)",Melinda Leigh,"Leigh, Melinda",,"=""154204796X""","=""9781542047968""",0,4.32,Montlake Romance,Paperback,327,2017,2017,,2024/07/11,,,read,,,,1,0
33149088,"Say You're Sorry (Morgan Dane, #1)",Melinda Leigh,"Leigh, Melinda",,"=""1503948706""","=""9781503948709""",0,4.08,Montlake Romance,Paperback,330,2017,2017,,2024/07/11,,,read,,,,1,0
17286747,"Necessary Lies (Necessary Lies, #1)",Diane Chamberlain,"Chamberlain, Diane",,"=""1250010691""","=""9781250010698""",0,4.30,St. Martin's Press,Hardcover,368,2013,2013,,2024/07/11,,,read,,,,1,0
59316367,Look Closer,David Ellis,"Ellis, David",,"=""0399170928""","=""9780399170928""",5,4.17,G.P. Putnam's Sons,Hardcover,448,2022,2022,,2024/07/10,,,read,,,,1,0
45299992,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,"Olsen, Gregg",,"=""1542005248""","=""9781542005241""",0,3.98,Thomas & Mercer,Kindle Edition,431,2019,2019,,2024/07/11,,,read,,,,1,0
20758175,"The Life We Bury (Joe Talbert, #1; Detective Max Rupert, #1)",Allen Eskens,"Eskens, Allen",,"=""1616149981""","=""9781616149987""",0,4.09,Seventh Street Books,Paperback,304,2014,2014,,2024/07/11,,,read,,,,1,0
60666845,Just the Nicest Couple,Mary Kubica,"Kubica, Mary",,"=""0778333116""","=""9780778333111""",0,3.56,Park Row,Hardcover,320,2023,2023,,2024/07/11,,,read,,,,1,0
57361474,Local Woman Missing,Mary Kubica,"Kubica, Mary",,"=""077831166X""","=""9780778311669""",0,4.13,Park Row,Paperback,356,2021,2021,,2024/07/11,,,read,,,,1,0
35522836,No Exit,Taylor  Adams,"Adams, Taylor",,"=""1912106760""","=""9781912106769""",0,3.99,Jofie Books,Kindle Edition,287,2017,2017,,2024/07/11,,,read,,,,1,0
57693172,A Flicker in the Dark,Stacy Willingham,"Willingham, Stacy",,"=""1250803829""","=""9781250803825""",0,3.98,Minotaur Books,Hardcover,357,2022,2022,,2024/07/11,,,read,,,,1,0
39182872,"Cut and Run  (Criminal Profiler, #3)",Mary Burton,"Burton, Mary",,"=""1503957853""","=""9781503957855""",0,4.21,Montlake Romance,Kindle Edition,354,2018,2018,,2024/07/11,,,read,,,,1,0
123429195,That's Not My Name,Megan Lally,"Lally, Megan",,"=""1728270111""","=""9781728270111""",0,4.06,Sourcebooks Fire,Paperback,297,2023,2023,,2024/07/11,,,read,,,,1,0
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",0,3.80,William Morrow,Kindle Edition,319,2020,2020,,2024/07/11,,,read,,,,1,0
59808228,The Prisoner,B.A. Paris,"Paris, B.A.",,"=""1250274141""","=""9781250274144""",0,3.61,St. Martin's Press,Hardcover,298,2022,2022,,2024/07/11,,,read,,,,1,0
36448554,Bring Me Back,B.A. Paris,"Paris, B.A.",,"=""1250151333""","=""9781250151339""",0,3.50,St. Martin's Press,Hardcover,291,2018,2018,,2024/07/11,,,read,,,,1,0
31450633,The Breakdown,B.A. Paris,"Paris, B.A.",,"=""1250122465""","=""9781250122469""",0,3.89,St. Martin's Press,Hardcover,328,2017,2017,,2024/07/11,,,read,,,,1,0
29437949,Behind Closed Doors,B.A. Paris,"Paris, B.A.",,"=""1250121000""","=""9781250121004""",0,3.97,St. Martin's Press,Hardcover,293,2016,2016,,2024/07/11,,,read,,,,1,0
36121086,Saving Noah,Lucinda Berry,"Berry, Lucinda",,"=""""","=""""",0,3.91,Rise Press,ebook,259,2017,2017,,2024/07/11,,,read,,,,1,0
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""0385741278""","=""9780385741279""",0,3.65,Delacorte Press,Paperback,320,2018,2014,,2024/07/11,,,read,,,,1,0
80830635,Don't Let Her Stay,Nicola Sanders,"Sanders, Nicola",,"=""""","=""""",0,3.94,,Kindle Edition,288,2023,2023,,2024/07/11,,,read,,,,1,0
62292419,She Started It,Sian Gilbert,"Gilbert, Sian",,"=""0063286297""","=""9780063286290""",0,3.57,William Morrow,Hardcover,352,2023,2023,,2024/07/11,,,read,,,,1,0
36315374,Jar of Hearts,Jennifer Hillier,"Hillier, Jennifer",,"=""1250154197""","=""9781250154194""",0,4.13,Minotaur Books,Hardcover,311,2018,2018,,2024/07/11,,,read,,,,1,0
35533431,The Broken Girls,Simone St. James,"James, Simone St.",,"=""""","=""""",0,4.06,Berkley,ebook,336,2018,2018,,2024/07/11,,,read,,,,1,0
45885644,The Sun Down Motel,Simone St. James,"James, Simone St.",,"=""0440000173""","=""9780440000174""",0,4.00,Berkley,Hardcover,327,2020,2020,,2024/07/11,,,read,,,,1,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.45,St. Martin's Press,Kindle Edition,435,2018,2018,,2024/07/10,,,read,,,,1,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.64,St. Martin's Press,Hardcover,440,2015,2015,,2024/07/10,,,read,,,,1,0
41837243,Lock Every Door,Riley Sager,"Sager, Riley",,"=""1524745154""","=""9781524745158""",0,3.89,Dutton,ebook,381,2019,2019,,2024/07/10,,,read,,,,1,0
43822820,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"Jewell, Lisa",,"=""1501190105""","=""9781501190100""",0,3.96,Atria Books,Hardcover,352,2019,2019,,2024/07/10,,,read,,,,1,0
55922299,The Night She Disappeared,Lisa Jewell,"Jewell, Lisa",,"=""1982137363""","=""9781982137366""",0,4.09,Atria Books,Hardcover,416,2021,2021,,2024/07/10,,,read,,,,1,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",0,4.04,Atria Books,Paperback,359,2018,2017,,2024/07/10,,,read,,,,1,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,"=""1982179007""","=""9781982179007""",0,4.09,Atria Books,Hardcover,390,2023,2023,,2024/07/10,,,read,,,,1,0
58502351,What Happened to the Bennetts,Lisa Scottoline,"Scottoline, Lisa",,"=""0525539670""","=""9780525539674""",0,3.80,G.P. Putnam's Sons,Hardcover,391,2022,2022,,2024/07/10,,,read,,,,1,0
43982433,Someone We Know,Shari Lapena,"Lapena, Shari",,"=""0525557652""","=""9780525557654""",0,3.91,Pamela Dorman Books,Hardcover,292,2019,2019,,2024/07/10,,,read,,,,1,0
33984056,A Stranger in the House,Shari Lapena,"Lapena, Shari",,"=""073522112X""","=""9780735221123""",0,3.68,Pamela Dorman Books,Hardcover,305,2017,2017,,2024/07/10,,,read,,,,1,0
38240386,An Unwanted Guest,Shari Lapena,"Lapena, Shari",,"=""0525557628""","=""9780525557623""",0,3.75,Pamela Dorman Books,Hardcover,352,2018,2018,,2024/07/10,,,read,,,,1,0
63139946,Everyone Here Is Lying,Shari Lapena,"Lapena, Shari",,"=""0593489934""","=""9780593489932""",0,3.78,Pamela Dorman Books,Hardcover,336,2023,2023,,2024/07/10,,,read,,,,1,0
56366617,Not a Happy Family,Shari Lapena,"Lapena, Shari",,"=""1984880551""","=""9781984880550""",0,3.78,Pamela Dorman Books,Hardcover,349,2021,2021,,2024/07/10,,,read,,,,1,0
28815474,The Couple Next Door,Shari Lapena,"Lapena, Shari",,"=""0735221081""","=""9780735221086""",0,3.80,Pamela Dorman Books,Hardcover,308,2016,2016,,2024/07/10,,,read,,,,1,0
52089753,Layla,Colleen Hoover,"Hoover, Colleen",,"=""1542000181""","=""9781542000185""",0,3.63,Montlake,Kindle Edition,305,2020,2020,,2024/07/10,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",0,4.30,Grand Central Publishing,ebook,336,2021,2018,,2024/07/10,,,read,,,,1,0
59817247,Do You Remember?,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.95,Hollywood Upstairs Press,Kindle Edition,333,2022,2022,,2024/07/10,,,read,,,,1,0
58778536,Do Not Disturb,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.92,Hollywood Upstairs Publishing,Kindle Edition,325,2021,2021,,2024/07/10,,,read,,,,1,0
52636419,The Wife Upstairs,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.06,Hollywood Upstairs Press,Kindle Edition,414,2020,2020,,2024/07/10,,,read,,,,1,0
54197718,One by One,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.86,Hollywood Upstairs Press,Kindle Edition,295,2020,2020,,2024/07/10,,,read,,,,1,0
52616342,The Perfect Son,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.01,Hollywood Upstairs Press,Kindle Edition,373,2019,2019,,2024/07/10,,,read,,,,1,0
123193218,Ward D,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.97,Hollywood Upstairs Press,Kindle Edition,348,2023,2023,,2024/07/10,,,read,,,,1,0
57795665,The Locked Door,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.99,Hollywood Upstairs Press,Kindle Edition,313,2021,2021,,2024/07/10,,,read,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.02,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,,2024/07/10,,,read,,,,1,0
62080187,Never Lie,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.08,Hollywood Upstairs Press,Kindle Edition,286,2022,2022,,2024/07/10,,,read,,,,1,0
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""1837901317""","=""9781837901319""",0,4.20,Bookouture,Kindle Edition,329,2023,2023,,2024/07/10,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.29,Bookouture,Kindle Edition,329,2022,2022,,2024/07/10,,,read,,,,1,0
194020321,Home Is Where the Bodies Are,Jeneva Rose,"Rose, Jeneva",,"=""""","=""9798212182843""",0,3.81,"Blackstone Publishing, Inc.",Hardcover,256,2024,2024,,2024/07/10,,,read,,,,1,0
61458888,You Shouldn't Have Come Here,Jeneva Rose,"Rose, Jeneva",,"=""""","=""9798212182805""",0,3.35,Blackstone Publishing,Hardcover,292,2023,2023,,2024/07/10,,,read,,,,1,0
53450790,"The Perfect Marriage (Perfect, #1)",Jeneva Rose,"Rose, Jeneva",,"=""1913419657""","=""9781913419653""",0,3.98,Bloodhound Books,Paperback,337,2020,2020,,2024/07/10,,,read,,,,1,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.32,Harper,Hardcover,272,2018,2018,,2024/07/10,,,read,,,,1,0
60168787,Ask for Andrea,Noelle W. Ihli,"Ihli, Noelle W.",,"=""""","=""""",0,4.09,Dynamite Books,ebook,272,2022,2022,,2024/07/10,,,read,,,,1,0
60168031,Keep It in the Family,John Marrs,"Marrs, John",,"=""1542017270""","=""9781542017275""",0,4.08,Thomas & Mercer,Paperback,369,2022,2022,,2024/01/04,,,read,,,,1,0
62703226,The Only One Left,Riley Sager,"Sager, Riley",,"=""0593183223""","=""9780593183229""",0,4.13,Dutton,Hardcover,383,2023,2023,,2024/01/04,,,read,,,,1,0
61897971,The Quiet Tenant,Clémence Michallon,"Michallon, Clémence",,"=""0593534646""","=""9780593534649""",0,3.82,Knopf,Hardcover,303,2023,2023,,2024/01/04,,,read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.37,G.P. Putnam’s Sons,ebook,384,2018,2018,,2024/01/04,,,read,,,,1,0
52476830,The Push,Ashley Audrain,"Audrain, Ashley",,"=""1984881663""","=""9781984881663""",4,4.04,Pamela Dorman Books,Hardcover,307,2021,2021,,2024/01/04,,,read,,,,1,0
58724923,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819342""","=""9781250819345""",5,4.16,Flatiron Books,Hardcover,372,2022,2022,,2024/01/04,,,read,,,,1,0
62874245,The Drowning Woman,Robyn Harding,"Harding, Robyn",,"=""1538726769""","=""9781538726761""",5,4.04,Grand Central Publishing,Hardcover,336,2023,2023,,2024/01/04,,,read,,,,1,0
56269064,Rock Paper Scissors,Alice Feeney,"Feeney, Alice",,"=""1250266106""","=""9781250266101""",0,3.89,Flatiron Books,Hardcover,294,2021,2021,,2024/01/04,to-read,to-read (#1),to-read,,,,0,0
